Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	A - Votos (Anterior)	A - Votos (Corrente)	A - Percentagem (Anterior)	A - Percentagem (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CDS-PP - Votos (Anterior)	CDS-PP - Votos (Corrente)	CDS-PP - Percentagem (Anterior)	CDS-PP - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MAS - Votos (Anterior)	MAS - Votos (Corrente)	MAS - Percentagem (Anterior)	MAS - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PDR - Votos (Anterior)	PDR - Votos (Corrente)	PDR - Percentagem (Anterior)	PDR - Percentagem (Corrente)	PNR - Votos (Anterior)	PNR - Votos (Corrente)	PNR - Percentagem (Anterior)	PNR - Percentagem (Corrente)	PPD/PSD - Votos (Anterior)	PPD/PSD - Votos (Corrente)	PPD/PSD - Percentagem (Anterior)	PPD/PSD - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM.PPV/CDC - Votos (Anterior)	PPM.PPV/CDC - Votos (Corrente)	PPM.PPV/CDC - Percentagem (Anterior)	PPM.PPV/CDC - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	PURP - Votos (Anterior)	PURP - Votos (Corrente)	PURP - Percentagem (Anterior)	PURP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-0302FD	Braga	Barcelos	Sequeade e Bastuço (São João e Santo Estevão)	1707	1740	0.3544	0.4161	24	16	37	11	6	0	0.0099	0.0000	0	12	0.0000	0.0166	27	13	0.0446	0.0180	41	0	0.0678	0.0000	0	82	0.0000	0.1133	0	1	0.0000	0.0014	1	37	0.0017	0.0511	7	14	0.0116	0.0193	1	2	0.0017	0.0028	0	0	0.0000	0.0000	3	1	0.0050	0.0014	0	1	0.0000	0.0014	18	7	0.0298	0.0097	18	11	0.0298	0.0152	2	0	0.0033	0.0000	2	0	0.0033	0.0000	1	0	0.0017	0.0000	168	0	0.2777	0.0000	0	278	0.0000	0.3840	11	0	0.0182	0.0000	231	233	0.3818	0.3218	4	2	0.0066	0.0028	3	0	0.0050	0.0000	0	2	0.0000	0.0028	0	1	0.0000	0.0014
LOCAL-0302FE	Braga	Barcelos	Silveiros e Rio Covo (Santa Eulália)	1815	1800	0.3846	0.4372	12	6	40	9	9	0	0.0129	0.0000	0	18	0.0000	0.0229	35	24	0.0501	0.0305	42	0	0.0602	0.0000	0	73	0.0000	0.0928	0	4	0.0000	0.0051	7	43	0.0100	0.0546	9	11	0.0129	0.0140	9	1	0.0129	0.0013	0	2	0.0000	0.0025	3	0	0.0043	0.0000	0	1	0.0000	0.0013	25	6	0.0358	0.0076	15	14	0.0215	0.0178	5	0	0.0072	0.0000	3	0	0.0043	0.0000	3	0	0.0043	0.0000	222	0	0.3181	0.0000	0	329	0.0000	0.4180	14	0	0.0201	0.0000	240	243	0.3438	0.3088	1	1	0.0014	0.0013	4	0	0.0057	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0025
LOCAL-0302FF	Braga	Barcelos	Tamel (Santa Leocádia) e Vilar do Monte	1187	1178	0.3682	0.4601	20	6	45	6	7	0	0.0160	0.0000	0	19	0.0000	0.0351	24	12	0.0549	0.0221	19	0	0.0435	0.0000	0	61	0.0000	0.1125	0	1	0.0000	0.0018	5	33	0.0114	0.0609	2	2	0.0046	0.0037	6	1	0.0137	0.0018	0	0	0.0000	0.0000	3	0	0.0069	0.0000	0	4	0.0000	0.0074	15	3	0.0343	0.0055	10	3	0.0229	0.0055	3	0	0.0069	0.0000	4	0	0.0092	0.0000	1	0	0.0023	0.0000	146	0	0.3341	0.0000	0	228	0.0000	0.4207	4	0	0.0092	0.0000	119	160	0.2723	0.2952	4	1	0.0092	0.0018	0	0	0.0000	0.0000	0	2	0.0000	0.0037	0	0	0.0000	0.0000
LOCAL-0302FG	Braga	Barcelos	Viatodos, Grimancelos, Minhotães, Monte de Fralães	3410	3511	0.4340	0.4939	35	10	80	29	11	0	0.0074	0.0000	0	36	0.0000	0.0208	99	32	0.0669	0.0185	139	0	0.0939	0.0000	0	127	0.0000	0.0732	0	0	0.0000	0.0000	5	133	0.0034	0.0767	13	39	0.0088	0.0225	3	3	0.0020	0.0017	0	2	0.0000	0.0012	10	0	0.0068	0.0000	0	2	0.0000	0.0012	42	14	0.0284	0.0081	19	13	0.0128	0.0075	6	0	0.0041	0.0000	6	0	0.0041	0.0000	4	0	0.0027	0.0000	526	0	0.3554	0.0000	0	807	0.0000	0.4654	6	0	0.0041	0.0000	472	482	0.3189	0.2780	1	0	0.0007	0.0000	3	0	0.0020	0.0000	0	2	0.0000	0.0012	0	3	0.0000	0.0017
LOCAL-0302FH	Braga	Barcelos	Vila Cova e Feitos	2253	2229	0.3711	0.4222	34	4	67	23	10	0	0.0120	0.0000	0	16	0.0000	0.0170	33	17	0.0395	0.0181	64	0	0.0766	0.0000	0	101	0.0000	0.1073	0	1	0.0000	0.0011	3	51	0.0036	0.0542	10	20	0.0120	0.0213	9	0	0.0108	0.0000	0	0	0.0000	0.0000	10	0	0.0120	0.0000	0	1	0.0000	0.0011	24	3	0.0287	0.0032	13	11	0.0156	0.0117	2	0	0.0024	0.0000	7	0	0.0084	0.0000	1	0	0.0012	0.0000	297	0	0.3553	0.0000	0	471	0.0000	0.5005	10	0	0.0120	0.0000	235	214	0.2811	0.2274	2	1	0.0024	0.0011	5	0	0.0060	0.0000	0	3	0.0000	0.0032	0	4	0.0000	0.0043
LOCAL-030301	Braga	Braga	Adaúfe	3567	3500	0.3179	0.4034	25	13	64	22	14	0	0.0123	0.0000	0	18	0.0000	0.0127	94	56	0.0829	0.0397	50	0	0.0441	0.0000	0	107	0.0000	0.0758	0	4	0.0000	0.0028	12	131	0.0106	0.0928	12	39	0.0106	0.0276	2	4	0.0018	0.0028	0	2	0.0000	0.0014	4	2	0.0035	0.0014	0	2	0.0000	0.0014	46	13	0.0406	0.0092	46	30	0.0406	0.0212	10	0	0.0088	0.0000	6	0	0.0053	0.0000	6	0	0.0053	0.0000	294	0	0.2593	0.0000	0	399	0.0000	0.2826	13	0	0.0115	0.0000	434	562	0.3827	0.3980	0	2	0.0000	0.0014	2	0	0.0018	0.0000	0	4	0.0000	0.0028	0	2	0.0000	0.0014
LOCAL-030312	Braga	Braga	Espinho	1094	1054	0.3885	0.4602	9	0	23	6	5	0	0.0118	0.0000	0	9	0.0000	0.0186	23	10	0.0541	0.0206	24	0	0.0565	0.0000	0	56	0.0000	0.1155	0	2	0.0000	0.0041	1	37	0.0024	0.0763	3	15	0.0071	0.0309	0	0	0.0000	0.0000	0	1	0.0000	0.0021	2	2	0.0047	0.0041	0	2	0.0000	0.0041	12	8	0.0282	0.0165	24	19	0.0565	0.0392	7	0	0.0165	0.0000	2	0	0.0047	0.0000	0	0	0.0000	0.0000	126	0	0.2965	0.0000	0	154	0.0000	0.3175	4	0	0.0094	0.0000	158	160	0.3718	0.3299	2	0	0.0047	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0041	0	2	0.0000	0.0041
LOCAL-030313	Braga	Braga	Esporões	1517	1595	0.4436	0.5229	25	2	41	16	6	0	0.0089	0.0000	0	13	0.0000	0.0156	49	22	0.0728	0.0264	53	0	0.0788	0.0000	0	75	0.0000	0.0899	0	3	0.0000	0.0036	7	80	0.0104	0.0959	11	23	0.0163	0.0276	4	2	0.0059	0.0024	0	3	0.0000	0.0036	10	2	0.0149	0.0024	0	3	0.0000	0.0036	34	10	0.0505	0.0120	14	7	0.0208	0.0084	8	0	0.0119	0.0000	5	0	0.0074	0.0000	6	0	0.0089	0.0000	179	0	0.2660	0.0000	0	320	0.0000	0.3837	15	0	0.0223	0.0000	200	250	0.2972	0.2998	5	1	0.0074	0.0012	1	0	0.0015	0.0000	0	1	0.0000	0.0012	0	1	0.0000	0.0012
LOCAL-030315	Braga	Braga	Figueiredo	1048	1068	0.4237	0.5215	9	2	27	10	1	0	0.0023	0.0000	0	6	0.0000	0.0108	23	20	0.0518	0.0359	30	0	0.0676	0.0000	0	49	0.0000	0.0880	0	0	0.0000	0.0000	0	46	0.0000	0.0826	5	11	0.0113	0.0197	0	2	0.0000	0.0036	0	3	0.0000	0.0054	4	2	0.0090	0.0036	0	3	0.0000	0.0054	12	9	0.0270	0.0162	8	6	0.0180	0.0108	8	0	0.0180	0.0000	3	0	0.0068	0.0000	1	0	0.0023	0.0000	133	0	0.2995	0.0000	0	207	0.0000	0.3716	6	0	0.0135	0.0000	172	177	0.3874	0.3178	0	0	0.0000	0.0000	2	0	0.0045	0.0000	0	2	0.0000	0.0036	0	2	0.0000	0.0036
LOCAL-030319	Braga	Braga	Gualtar	5322	5695	0.4316	0.4894	55	13	126	37	43	0	0.0187	0.0000	0	27	0.0000	0.0097	245	140	0.1067	0.0502	135	0	0.0588	0.0000	0	204	0.0000	0.0732	0	4	0.0000	0.0014	22	365	0.0096	0.1310	59	172	0.0257	0.0617	5	2	0.0022	0.0007	0	2	0.0000	0.0007	44	2	0.0192	0.0007	0	4	0.0000	0.0014	143	37	0.0623	0.0133	98	83	0.0427	0.0298	15	0	0.0065	0.0000	13	0	0.0057	0.0000	8	0	0.0035	0.0000	544	0	0.2368	0.0000	0	831	0.0000	0.2982	21	0	0.0091	0.0000	712	855	0.3100	0.3068	2	0	0.0009	0.0000	7	0	0.0030	0.0000	0	3	0.0000	0.0011	0	6	0.0000	0.0022
