Key	Distrito	Municipio	Freguesia	Eleitores (2022)	Eleitores (2024)	Percentagem de Votantes (2022)	Percentagem de Votantes (2024)	Votos Nulos (2022)	Votos Nulos (2024)	Votos Brancos (2022)	Votos Brancos (2024)	A - Percentagem (2022)	A - Percentagem (2024)	A - Votos (2022)	A - Votos (2024)	ADN - Percentagem (2022)	ADN - Percentagem (2024)	ADN - Votos (2022)	ADN - Votos (2024)	B.E. - Percentagem (2022)	B.E. - Percentagem (2024)	B.E. - Votos (2022)	B.E. - Votos (2024)	CDS-PP - Percentagem (2022)	CDS-PP - Percentagem (2024)	CDS-PP - Votos (2022)	CDS-PP - Votos (2024)	CH - Percentagem (2022)	CH - Percentagem (2024)	CH - Votos (2022)	CH - Votos (2024)	E - Percentagem (2022)	E - Percentagem (2024)	E - Votos (2022)	E - Votos (2024)	IL - Percentagem (2022)	IL - Percentagem (2024)	IL - Votos (2022)	IL - Votos (2024)	JPP - Percentagem (2022)	JPP - Percentagem (2024)	JPP - Votos (2022)	JPP - Votos (2024)	L - Percentagem (2022)	L - Percentagem (2024)	L - Votos (2022)	L - Votos (2024)	MAS - Percentagem (2022)	MAS - Percentagem (2024)	MAS - Votos (2022)	MAS - Votos (2024)	MPT - Percentagem (2022)	MPT - Percentagem (2024)	MPT - Votos (2022)	MPT - Votos (2024)	MPT.A - Percentagem (2022)	MPT.A - Percentagem (2024)	MPT.A - Votos (2022)	MPT.A - Votos (2024)	NC - Percentagem (2022)	NC - Percentagem (2024)	NC - Votos (2022)	NC - Votos (2024)	ND - Percentagem (2022)	ND - Percentagem (2024)	ND - Votos (2022)	ND - Votos (2024)	PAN - Percentagem (2022)	PAN - Percentagem (2024)	PAN - Votos (2022)	PAN - Votos (2024)	PCP-PEV - Percentagem (2022)	PCP-PEV - Percentagem (2024)	PCP-PEV - Votos (2022)	PCP-PEV - Votos (2024)	PCTP/MRPP - Percentagem (2022)	PCTP/MRPP - Percentagem (2024)	PCTP/MRPP - Votos (2022)	PCTP/MRPP - Votos (2024)	PPD/PSD - Percentagem (2022)	PPD/PSD - Percentagem (2024)	PPD/PSD - Votos (2022)	PPD/PSD - Votos (2024)	PPD/PSD.CDS-PP - Percentagem (2022)	PPD/PSD.CDS-PP - Percentagem (2024)	PPD/PSD.CDS-PP - Votos (2022)	PPD/PSD.CDS-PP - Votos (2024)	PPD/PSD.CDS-PP.PPM - Percentagem (2022)	PPD/PSD.CDS-PP.PPM - Percentagem (2024)	PPD/PSD.CDS-PP.PPM - Votos (2022)	PPD/PSD.CDS-PP.PPM - Votos (2024)	PPM - Percentagem (2022)	PPM - Percentagem (2024)	PPM - Votos (2022)	PPM - Votos (2024)	PS - Percentagem (2022)	PS - Percentagem (2024)	PS - Votos (2022)	PS - Votos (2024)	PTP - Percentagem (2022)	PTP - Percentagem (2024)	PTP - Votos (2022)	PTP - Votos (2024)	R.I.R. - Percentagem (2022)	R.I.R. - Percentagem (2024)	R.I.R. - Votos (2022)	R.I.R. - Votos (2024)	VP - Percentagem (2022)	VP - Percentagem (2024)	VP - Votos (2022)	VP - Votos (2024)
LOCAL-500000	*	*	*	9298390	9271479	0.5796	0.6623	49537	67349	61762	87957	0.0004	0	1902	0	0.0019	0.0163	10001	100051	0.0446	0.0446	240272	274029	0.0161	0	86577	0	0.0715	0.1806	385573	1108797	0.0009	0.0009	4740	5730	0.0498	0.0508	268414	312064	0.002	0.003	10935	18371	0.0128	0.0326	68975	199888	0.0011	0	5986	0	0.0012	0	6429	0	0	0.0007	0	4047	0.0006	0.0003	2997	1627	0	0.0024	0	14479	0.0153	0.0193	82252	118579	0.0439	0.033	236645	202325	0.002	0.0024	10745	14751	0.2781	0	1498655	0	0.0094	0.0086	50634	52992	0.0053	0.2863	28520	1758035	0	0.0001	260	451	0.4168	0.2866	2246637	1759998	0.0006	0.0004	3239	2443	0.0042	0.0041	22556	25482	0.001	0.0018	5462	10824
LOCAL-400000	Açores	*	*	229022	230082	0.3671	0.4619	890	1070	2076	2621	0	0	0	0	0.0058	0.0078	484	829	0.0427	0.0341	3589	3622	0	0	0	0	0.0593	0.1576	4986	16744	0.0007	0.0006	55	64	0.0411	0.0271	3454	2882	0	0.002	0	213	0.0092	0.0171	773	1816	0.001	0	87	0	0.0018	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0137	0.0156	1156	1654	0.0149	0.0109	1250	1160	0.0038	0	321	0	0	0	0	0	0	0	0	0	0.3392	0.3984	28520	42343	0	0	0	0	0.4284	0.2918	36025	31015	0	0	0	0	0.0024	0.0012	201	125	0.0008	0.0011	67	115
LOCAL-010000	Aveiro	*	*	642602	642086	0.5678	0.66	3521	4577	4739	7031	0	0	0	0	0.0019	0.0136	676	5753	0.0458	0.041	16708	17358	0.0246	0	8962	0	0.0564	0.1725	20562	73110	0.0006	0.0009	217	362	0.0447	0.0511	16294	21671	0.0005	0	192	0	0.0079	0.0224	2878	9510	0.0011	0	405	0	0.0014	0	504	0	0	0.0005	0	206	0	0	0	0	0	0.0025	0	1076	0.0126	0.0172	4604	7300	0.018	0.0138	6551	5850	0.0039	0.0029	1409	1215	0.3568	0	130192	0	0	0	0	0	0	0.3513	0	148861	0	0	0	0	0.3952	0.2769	144198	117348	0	0	0	0	0.005	0.0046	1815	1933	0.0012	0.0014	431	610
LOCAL-020000	Beja	*	*	120888	119102	0.5586	0.6465	639	934	767	1170	0	0	0	0	0	0.0112	0	861	0.0372	0.0441	2511	3393	0.0076	0	515	0	0.1027	0.2155	6932	16595	0.0012	0.0012	78	95	0.0206	0.0222	1388	1708	0	0	0	0	0.0073	0.0178	491	1369	0.0009	0	62	0	0.0013	0	89	0	0	0	0	0	0	0	0	0	0	0.0014	0	106	0.0088	0.0122	597	943	0.1842	0.1503	12442	11570	0.0061	0.0081	415	624	0.1594	0	10767	0	0	0	0	0	0	0.1674	0	12890	0	0	0	0	0.4373	0.317	29533	24408	0.0007	0	45	0	0.0023	0.0024	156	181	0.0015	0.0019	103	147
LOCAL-030000	Braga	*	*	776539	780163	0.6368	0.7131	3937	5277	6152	9588	0.0006	0	286	0	0	0.0179	0	9964	0.0375	0.0384	18558	21388	0.0166	0	8215	0	0.0581	0.1686	28746	93826	0.001	0.0009	494	515	0.0433	0.061	21432	33930	0.001	0.0011	481	590	0.0079	0.0232	3925	12926	0.0011	0	549	0	0.0009	0	453	0	0	0.0012	0	673	0	0.001	0	534	0	0.0047	0	2616	0.0119	0.0143	5907	7935	0.0263	0.0182	12993	10136	0	0.0034	0	1897	0.3478	0	172007	0	0	0	0	0	0	0.3316	0	184468	0	0	0	0	0.4202	0.2824	207793	157099	0.0009	0	460	0	0.0036	0.004	1767	2234	0.0007	0.0014	357	771
LOCAL-040000	Bragança	*	*	137572	134213	0.4779	0.5415	816	972	567	890	0	0	0	0	0	0.0218	0	1587	0.0209	0.0193	1371	1404	0.0208	0	1368	0	0.0855	0.1819	5619	13216	0.001	0.0015	64	109	0.016	0.0171	1049	1245	0	0	0	0	0.0035	0.01	230	727	0.0008	0	54	0	0.0014	0	91	0	0	0.0007	0	52	0	0	0	0	0	0.0043	0	316	0.006	0.0082	397	598	0.0136	0.0106	892	773	0	0	0	0	0.4028	0	26480	0	0	0	0	0	0	0.4001	0	29077	0	0	0	0	0.403	0.2964	26495	21538	0	0	0	0	0.0038	0.0023	249	169	0	0	0	0
LOCAL-050000	Castelo Branco	*	*	166269	163578	0.5758	0.6619	1148	1491	1117	1529	0	0	0	0	0.0019	0.0138	182	1491	0.0425	0.0411	4069	4451	0.0156	0	1497	0	0.0831	0.1952	7958	21131	0.0006	0.0009	59	100	0.0255	0.0273	2443	2959	0	0	0	0	0.0081	0.0201	774	2171	0.001	0	91	0	0.0016	0	154	0	0	0	0	0	0.0008	0	78	0	0	0.0029	0	315	0.0098	0.0132	935	1427	0.0291	0.0219	2784	2372	0.0033	0.0041	313	441	0.274	0	26237	0	0	0	0	0	0	0.2845	0	30803	0	0	0	0	0.4765	0.3422	45622	37052	0.0004	0	43	0	0.0025	0.0034	239	367	0	0.0016	0	168
LOCAL-060000	Coimbra	*	*	374935	371745	0.5738	0.6512	2364	2636	3120	4795	0.0015	0	322	0	0	0.01	0	2421	0.0509	0.051	10957	12334	0.0151	0	3244	0	0.0613	0.1546	13180	37412	0.0006	0.0008	120	187	0.0362	0.0396	7779	9587	0	0.0008	0	185	0.0102	0.0284	2195	6880	0.0011	0	242	0	0.0009	0	203	0	0	0.0006	0	140	0	0	0	0	0	0.0024	0	577	0.012	0.0158	2571	3835	0.0339	0.0282	7294	6816	0.0025	0	542	0	0.2915	0	62718	0	0	0	0	0	0	0.3058	0	74019	0	0	0	0	0.4523	0.3267	97310	79086	0	0	0	0	0.0033	0.003	706	730	0.0012	0.0018	255	427
LOCAL-070000	Évora	*	*	134828	133400	0.5855	0.6701	557	810	843	1251	0	0	0	0	0	0.0094	0	838	0.0333	0.0427	2628	3816	0.0114	0	896	0	0.0915	0.1996	7222	17846	0.0007	0.0009	56	81	0.0247	0.0249	1947	2227	0	0	0	0	0.0063	0.0198	496	1773	0.001	0	77	0	0.0008	0	63	0	0	0.0005	0	41	0	0	0	0	0	0.0018	0	160	0.0084	0.0111	665	991	0.1456	0.1093	11494	9771	0	0	0	0	0.2141	0	16902	0	0	0	0	0	0	0.2243	0	20049	0	0	0	0	0.4395	0.3279	34693	29309	0.0005	0	42	0	0.0033	0.0031	263	273	0.0012	0.0017	96	151
LOCAL-080000	Faro	*	*	380371	382586	0.5126	0.6174	1829	2779	2599	3407	0	0	0	0	0.0059	0.0209	1152	4926	0.0576	0.0575	11226	13579	0.0108	0	2109	0	0.123	0.2719	23988	64228	0.0011	0.0014	220	330	0.0464	0.0456	9042	10761	0	0.0026	0	611	0.0108	0.0275	2111	6501	0.0015	0	286	0	0.002	0	383	0	0	0	0	0	0	0	0	0	0	0.0033	0	782	0.0216	0.0258	4213	6098	0.0481	0.0318	9379	7518	0	0	0	0	0.2435	0	47471	0	0	0	0	0	0	0.2239	0	52885	0	0	0	0	0.3987	0.2546	77740	60123	0.0013	0	250	0	0.0039	0.0045	759	1074	0.0011	0.0025	210	591
LOCAL-090000	Guarda	*	*	145852	141431	0.5273	0.6017	950	1333	774	1163	0	0	0	0	0	0.0256	0	2181	0.0307	0.027	2359	2301	0.0221	0	1699	0	0.0795	0.1859	6116	15821	0.0016	0.0019	120	165	0.0193	0.0225	1487	1913	0	0	0	0	0.0054	0.0135	413	1151	0.0008	0	65	0	0.0009	0	69	0	0	0.0009	0	80	0	0	0	0	0	0.0034	0	292	0.0066	0.0096	504	821	0.0177	0.0157	1360	1332	0	0	0	0	0.3352	0	25776	0	0	0	0	0	0	0.3412	0	29033	0	0	0	0	0.451	0.3188	34685	27133	0.0009	0	66	0	0.0044	0.0034	341	289	0.0015	0.0011	117	95
LOCAL-100000	Leiria	*	*	413083	412184	0.5708	0.6636	2685	3560	3809	5081	0	0	0	0	0.0033	0.0167	783	4560	0.0454	0.0429	10711	11736	0.0205	0	4834	0	0.0802	0.1966	18918	53764	0.0007	0.0012	173	340	0.0526	0.0565	12400	15446	0	0	0	0	0.0105	0.0263	2469	7197	0.0011	0	264	0	0.0015	0	353	0	0	0.0011	0	306	0.0016	0	376	0	0	0.0027	0	741	0.0131	0.017	3090	4645	0.0311	0.0241	7340	6600	0	0	0	0	0.3468	0	81778	0	0	0	0	0	0	0.3521	0	96311	0	0	0	0	0.3573	0.225	84253	61535	0.0006	0	137	0	0.0051	0.0042	1199	1141	0.0009	0.002	209	552
LOCAL-110000	Lisboa	*	*	1919958	1915172	0.6156	0.6888	9433	13820	11891	15711	0.0006	0	749	0	0.0027	0.0145	3249	19074	0.0472	0.0496	55786	65438	0.0165	0	19524	0	0.0777	0.1702	91889	224526	0.0007	0.0008	816	1000	0.079	0.0658	93341	86847	0.0008	0.0006	971	848	0.0244	0.0547	28834	72102	0.0012	0	1452	0	0.0013	0	1485	0	0	0.0009	0	1174	0.0007	0	879	0	0	0.0018	0	2365	0.0199	0.0249	23577	32829	0.0508	0.0373	59995	49257	0.0042	0.0034	4916	4464	0.2416	0	285522	0	0	0	0	0	0	0.2704	0	356698	0	0	0	0	0.4083	0.2773	482606	365838	0.0005	0.001	555	1331	0.0026	0.0022	3035	2854	0.0012	0.0022	1369	2963
LOCAL-300000	Madeira	*	*	256431	254502	0.4957	0.5885	2323	2685	781	794	0	0	0	0	0.0043	0.0157	550	2348	0.0323	0.0294	4109	4404	0	0	0	0	0.0608	0.1756	7727	26296	0.0018	0.0016	234	239	0.0334	0.0389	4241	5827	0.0686	0.0958	8721	14344	0.0072	0.0124	913	1864	0.0019	0	244	0	0.0036	0	462	0	0	0.0015	0	228	0	0.002	0	305	0	0	0	0	0.0164	0.0209	2084	3127	0.0203	0.0162	2581	2429	0	0	0	0	0	0	0	0	0.3983	0.3538	50634	52992	0	0	0	0	0.002	0.003	260	451	0.3147	0.1984	40004	29723	0.0054	0.0048	689	719	0.0044	0.0048	554	725	0	0.0019	0	283
LOCAL-120000	Portalegre	*	*	94374	93106	0.5672	0.6515	472	645	601	920	0	0	0	0	0	0.0104	0	631	0.029	0.0312	1550	1894	0.0119	0	635	0	0.1146	0.2459	6136	14915	0.0008	0.0009	43	54	0.0208	0.0189	1115	1146	0	0	0	0	0.0055	0.0144	295	873	0.0009	0	48	0	0.0009	0	50	0	0	0.0005	0	31	0	0	0	0	0	0.002	0	121	0.0064	0.0083	345	506	0.0758	0.0594	4058	3604	0.0057	0.005	304	303	0.2323	0	12432	0	0	0	0	0	0	0.233	0	14132	0	0	0	0	0.4721	0.3405	25271	20658	0.0003	0	16	0	0.0023	0.0029	122	176	0.0007	0.0009	35	53
LOCAL-130000	Porto	*	*	1592590	1591759	0.6184	0.7004	8319	11035	9993	14404	0.0004	0	372	0	0.0015	0.0176	1430	19585	0.0478	0.0466	47118	51909	0.0146	0	14347	0	0.0437	0.1533	42998	170910	0.001	0.0007	1007	740	0.0511	0.0575	50359	64050	0.0004	0.001	367	1150	0.0116	0.0335	11433	37319	0.0007	0	707	0	0.0007	0	706	0	0	0	0	0	0.0009	0.0007	922	788	0	0.0016	0	1786	0.017	0.021	16707	23415	0.0328	0.0236	32277	26343	0	0.0031	0	3444	0.3233	0	318343	0	0	0	0	0	0	0.3042	0	339096	0	0	0	0	0.4253	0.3033	418869	338084	0.0004	0	421	0	0.0073	0.0082	7212	9163	0.0009	0.0015	893	1647
LOCAL-140000	Santarém	*	*	378006	377261	0.5772	0.6655	2071	2939	2773	3868	0	0	0	0	0	0.014	0	3505	0.0459	0.0446	10012	11204	0.019	0	4136	0	0.1091	0.2332	23813	58554	0.0013	0.0014	284	363	0.0377	0.0378	8219	9492	0	0	0	0	0.0089	0.0246	1932	6186	0.0018	0	383	0	0.0014	0	314	0	0	0.0012	0	295	0	0	0	0	0	0.0018	0	463	0.0116	0.0156	2527	3926	0.0543	0.0412	11854	10343	0	0	0	0	0.2687	0	58630	0	0	0	0	0	0	0.2728	0	68493	0	0	0	0	0.4119	0.2785	89870	69915	0.0007	0	162	0	0.0041	0.0038	901	951	0.0014	0.0023	311	567
LOCAL-150000	Setúbal	*	*	745593	751292	0.581	0.669	3431	5074	4422	6256	0	0	0	0	0.003	0.0152	1307	7661	0.0575	0.06	24931	30161	0.0112	0	4869	0	0.0903	0.2031	39135	102077	0.0007	0.0011	313	558	0.0513	0.0536	22217	26941	0.0005	0.0009	203	430	0.0142	0.0429	6140	21552	0.0011	0	460	0	0.0011	0	492	0	0	0.0009	0	438	0.0009	0	369	0	0	0.0025	0	1235	0.0199	0.0256	8639	12856	0.1005	0.0773	43529	38841	0.0058	0.0047	2525	2363	0.1615	0	69963	0	0	0	0	0	0	0.1717	0	86297	0	0	0	0	0.4573	0.3127	198104	157166	0.0005	0.0008	225	393	0.0033	0.0026	1429	1323	0.0012	0.0019	514	965
LOCAL-160000	Viana do Castelo	*	*	236042	233491	0.5382	0.6121	1170	1539	1654	2682	0.0014	0	173	0	0	0.0158	0	2263	0.0348	0.0345	4418	4926	0.0336	0	4272	0	0.0606	0.1864	7702	26635	0.001	0.001	133	147	0.0287	0.0357	3651	5106	0	0	0	0	0.0072	0.0197	919	2813	0.0012	0	157	0	0.0015	0	190	0	0	0.0014	0	204	0	0	0	0	0	0.0049	0	706	0.0098	0.0144	1251	2057	0.03	0.0217	3815	3106	0	0	0	0	0.3417	0	43414	0	0	0	0	0	0	0.3472	0	49613	0	0	0	0	0.4206	0.2815	53435	40237	0	0	0	0	0.0044	0.0044	556	624	0.001	0.0018	130	255
LOCAL-170000	Vila Real	*	*	213093	208667	0.4942	0.561	1075	1546	940	1494	0	0	0	0	0	0.0253	0	2958	0.0232	0.0245	2443	2865	0.0158	0	1667	0	0.0719	0.1711	7573	20032	0.0007	0.001	78	117	0.018	0.0203	1898	2378	0	0	0	0	0.0055	0.0136	574	1592	0.002	0	208	0	0.0006	0	62	0	0	0	0	0	0.0014	0	144	0	0	0.0024	0	278	0.0077	0.0091	812	1062	0.0169	0.0137	1775	1599	0	0	0	0	0.4001	0	42135	0	0	0	0	0	0	0.3933	0	46040	0	0	0	0	0.4129	0.296	43489	34654	0	0	0	0	0.0035	0.0027	370	319	0.0007	0.001	76	122
LOCAL-180000	Viseu	*	*	340342	335659	0.5419	0.6304	1907	2627	2144	3302	0	0	0	0	0.001	0.0313	188	6615	0.0283	0.0276	5218	5846	0.0205	0	3788	0	0.0779	0.1945	14373	41159	0.001	0.0008	176	164	0.0253	0.0281	4658	5948	0	0	0	0	0.0064	0.0169	1180	3566	0.0008	0	145	0	0.0008	0	156	0	0	0.0008	0	179	0.0012	0	229	0	0	0.0026	0	544	0.0091	0.0121	1671	2554	0.0162	0.0137	2982	2905	0	0	0	0	0.3681	0	67888	0	0	0	0	0	0	0.3636	0	76927	0	0	0	0	0.4155	0.2745	76642	58077	0.0007	0	128	0	0.0037	0.0039	682	831	0.0016	0.0016	289	342
LOCAL-430100	Açores	Angra do Heroísmo	*	33262	33446	0.4448	0.5181	133	161	330	414	0	0	0	0	0.0043	0.0074	64	129	0.0397	0.0319	587	552	0	0	0	0	0.0493	0.1151	729	1994	0.0004	0.0002	6	4	0.0412	0.029	609	502	0	0.001	0	18	0.0081	0.0156	120	271	0.0008	0	12	0	0.0016	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.0113	148	196	0.0122	0.01	181	174	0.0029	0	43	0	0	0	0	0	0	0	0	0	0.3591	0.4158	5312	7205	0	0	0	0	0.4363	0.3278	6454	5681	0	0	0	0	0.002	0.0006	30	10	0.0008	0.001	12	18
LOCAL-450100	Açores	Calheta	*	3736	3723	0.3897	0.4566	21	16	40	53	0	0	0	0	0.0103	0.0165	15	28	0.0337	0.0182	49	31	0	0	0	0	0.0343	0.0929	50	158	0.0021	0.0006	3	1	0.0199	0.0176	29	30	0	0.0029	0	5	0.0055	0.0112	8	19	0.0007	0	1	0	0.0007	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0096	0.0082	14	14	0.011	0.0129	16	22	0.0007	0	1	0	0	0	0	0	0	0	0	0	0.4066	0.5194	592	883	0	0	0	0	0.4196	0.2541	611	432	0	0	0	0	0.0014	0.0024	2	4	0.0021	0.0024	3	4
LOCAL-490100	Açores	Corvo	*	348	355	0.6667	0.7493	0	2	1	5	0	0	0	0	0.0043	0.0075	1	2	0.0259	0.0338	6	9	0	0	0	0	0.0388	0.0789	9	21	0	0	0	0	0.0043	0.0075	1	2	0	0	0	0	0.0086	0.0038	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043	0.0038	1	1	0.0517	0.015	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0.4173	71	111	0	0	0	0	0.5474	0.406	127	108	0	0	0	0	0.0043	0	1	0	0	0	0	0
LOCAL-470100	Açores	Horta	*	12995	13011	0.4476	0.536	30	50	195	225	0	0	0	0	0.0069	0.0073	40	51	0.0395	0.0416	230	290	0	0	0	0	0.037	0.1035	215	722	0.0007	0.0004	4	3	0.0263	0.0229	153	160	0	0.0016	0	11	0.0086	0.0225	50	157	0.0009	0	5	0	0.0015	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117	0.0128	68	89	0.0358	0.026	208	181	0.0031	0	18	0	0	0	0	0	0	0	0	0	0.4002	0.4299	2328	2998	0	0	0	0	0.3863	0.2905	2247	2026	0	0	0	0	0.0024	0.0011	14	8	0.0005	0.0004	3	3
LOCAL-420100	Açores	Lagoa	*	12933	12998	0.3244	0.4265	51	59	78	86	0	0	0	0	0.0036	0.0063	15	35	0.0436	0.0292	183	162	0	0	0	0	0.082	0.2086	344	1156	0.0002	0.0005	1	3	0.0524	0.0274	220	152	0	0.0092	0	51	0.0086	0.017	36	94	0.0019	0	8	0	0.0017	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162	0.0224	68	124	0.0093	0.0051	39	28	0.0076	0	32	0	0	0	0	0	0	0	0	0	0.2458	0.3264	1031	1809	0	0	0	0	0.493	0.3191	2068	1769	0	0	0	0	0.0024	0.0013	10	7	0.001	0.0014	4	8
LOCAL-480100	Açores	Lajes das Flores	*	1259	1245	0.4662	0.5863	6	4	34	24	0	0	0	0	0.0051	0.0123	3	9	0.0375	0.0438	22	32	0	0	0	0	0.0562	0.1315	33	96	0.0068	0	4	0	0.0204	0.0205	12	15	0	0	0	0	0.0068	0.0178	4	13	0.0034	0	2	0	0.0017	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085	0.0164	5	12	0.0204	0.0205	12	15	0.0153	0	9	0	0	0	0	0	0	0	0	0	0.3169	0.3466	186	253	0	0	0	0	0.4259	0.3479	250	254	0	0	0	0	0.0068	0.0041	4	3	0	0	0	0
LOCAL-460100	Açores	Lajes do Pico	*	4423	4483	0.4393	0.5133	19	17	78	107	0	0	0	0	0.0046	0.0096	9	22	0.0221	0.023	43	53	0	0	0	0	0.0314	0.0943	61	217	0.0005	0.0004	1	1	0.017	0.0122	33	28	0	0	0	0	0.0041	0.0113	8	26	0.0005	0	1	0	0.001	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0.0048	13	11	0.016	0.0148	31	34	0.0021	0	4	0	0	0	0	0	0	0	0	0	0.3639	0.4172	707	960	0	0	0	0	0.4766	0.3564	926	820	0	0	0	0	0.0036	0.0017	7	4	0	0.0004	0	1
LOCAL-460200	Açores	Madalena	*	5982	6032	0.4032	0.4839	20	30	105	116	0	0	0	0	0.0058	0.0075	14	22	0.0174	0.0288	42	84	0	0	0	0	0.0415	0.1127	100	329	0	0.001	0	3	0.0286	0.0212	69	62	0	0.0024	0	7	0.0075	0.0096	18	28	0.0008	0	2	0	0.0012	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0095	0.0127	23	37	0.0091	0.0116	22	34	0.0054	0	13	0	0	0	0	0	0	0	0	0	0.3968	0.4546	957	1327	0	0	0	0	0.4216	0.2861	1017	835	0	0	0	0	0.0021	0.001	5	3	0.0008	0.0007	2	2
LOCAL-420200	Açores	Nordeste	*	4749	4811	0.3765	0.4932	46	39	46	78	0	0	0	0	0.0039	0.008	7	19	0.0285	0.0206	51	49	0	0	0	0	0.0654	0.1357	117	322	0.0017	0.0013	3	3	0.0207	0.0143	37	34	0	0.0008	0	2	0.0039	0.0122	7	29	0.0028	0	5	0	0.0028	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0089	0.0114	16	27	0.014	0.0051	25	12	0.0039	0	7	0	0	0	0	0	0	0	0	0	0.3602	0.4206	644	998	0	0	0	0	0.429	0.3177	767	754	0	0	0	0	0.0028	0.0025	5	6	0	0.0004	0	1
LOCAL-420300	Açores	Ponta Delgada	*	65137	65382	0.3499	0.4523	234	304	460	531	0	0	0	0	0.0074	0.0075	169	223	0.0562	0.0413	1280	1221	0	0	0	0	0.0685	0.1839	1562	5439	0.0007	0.0006	16	18	0.0608	0.0357	1385	1055	0	0.0024	0	70	0.0143	0.0229	326	677	0.0009	0	21	0	0.0021	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198	0.0218	451	646	0.0155	0.0107	353	315	0.0038	0	87	0	0	0	0	0	0	0	0	0	0.3193	0.3875	7277	11458	0	0	0	0	0.3968	0.255	9043	7540	0	0	0	0	0.0025	0.001	58	29	0.0008	0.0016	19	46
LOCAL-420400	Açores	Povoação	*	6367	6274	0.3226	0.4396	31	37	60	75	0	0	0	0	0.0029	0.0051	6	14	0.038	0.0315	78	87	0	0	0	0	0.0759	0.1936	156	534	0.0015	0.0011	3	3	0.0268	0.0145	55	40	0	0.0011	0	3	0.0039	0.0127	8	35	0.001	0	2	0	0.0024	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156	0.0138	32	38	0.0073	0.0025	15	7	0.0054	0	11	0	0	0	0	0	0	0	0	0	0.2566	0.3568	527	984	0	0	0	0	0.5131	0.3238	1054	893	0	0	0	0	0.0029	0.0015	6	4	0.0024	0.0015	5	4
LOCAL-420500	Açores	Ribeira Grande	*	28662	28931	0.258	0.3851	106	150	162	244	0	0	0	0	0.0045	0.0066	33	74	0.0607	0.0392	449	437	0	0	0	0	0.0829	0.2187	613	2436	0.0003	0.0008	2	9	0.0354	0.025	262	278	0	0.0018	0	20	0.008	0.0141	59	157	0.0012	0	9	0	0.0023	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.0195	118	217	0.0138	0.0094	102	105	0.0045	0	33	0	0	0	0	0	0	0	0	0	0.3169	0.3715	2344	4139	0	0	0	0	0.4144	0.2557	3065	2849	0	0	0	0	0.0018	0.0011	13	12	0.0012	0.0013	9	14
LOCAL-440100	Açores	Santa Cruz da Graciosa	*	3929	3870	0.4551	0.5147	18	19	48	74	0	0	0	0	0.0062	0.006	11	12	0.0218	0.0166	39	33	0	0	0	0	0.0302	0.0904	54	180	0.0011	0	2	0	0.024	0.012	43	24	0	0.0005	0	1	0.0045	0.0085	8	17	0.0017	0	3	0	0.0022	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0.0075	11	15	0.0089	0.0035	16	7	0.0006	0	1	0	0	0	0	0	0	0	0	0	0.3831	0.4403	685	877	0	0	0	0	0.4687	0.366	838	729	0	0	0	0	0.0039	0.002	7	4	0	0	0	0
LOCAL-480200	Açores	Santa Cruz das Flores	*	1824	1837	0.4243	0.5215	9	8	27	22	0	0	0	0	0.0078	0.0084	6	8	0.0401	0.0271	31	26	0	0	0	0	0.0672	0.1482	52	142	0.0039	0.001	3	1	0.0271	0.0198	21	19	0	0.0031	0	3	0.0078	0.0104	6	10	0.0013	0	1	0	0.0026	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0.0073	6	7	0.0271	0.0344	21	33	0.0065	0	5	0	0	0	0	0	0	0	0	0	0.2442	0.3142	189	301	0	0	0	0	0.5026	0.3883	389	372	0	0	0	0	0.0078	0.0052	6	5	0	0.001	0	1
LOCAL-460300	Açores	São Roque do Pico	*	3259	3301	0.4161	0.5065	10	12	50	66	0	0	0	0	0.0037	0.012	5	20	0.0354	0.0269	48	45	0	0	0	0	0.045	0.1106	61	185	0	0	0	0	0.0265	0.0191	36	32	0	0.0006	0	1	0.0066	0.0179	9	30	0.0015	0	2	0	0.0007	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133	0.0126	18	21	0.0066	0.0042	9	7	0.0022	0	3	0	0	0	0	0	0	0	0	0	0.3584	0.442	486	739	0	0	0	0	0.4521	0.3038	613	508	0	0	0	0	0.0029	0.003	4	5	0.0007	0.0006	1	1
