Key	Distrito	Municipio	Freguesia	Eleitores (2022)	Eleitores (2024)	Percentagem de Votantes (2022)	Percentagem de Votantes (2024)	Votos Nulos (2022)	Votos Nulos (2024)	Votos Brancos (2022)	Votos Brancos (2024)	A - Percentagem (2022)	A - Percentagem (2024)	A - Votos (2022)	A - Votos (2024)	ADN - Percentagem (2022)	ADN - Percentagem (2024)	ADN - Votos (2022)	ADN - Votos (2024)	B.E. - Percentagem (2022)	B.E. - Percentagem (2024)	B.E. - Votos (2022)	B.E. - Votos (2024)	CDS-PP - Percentagem (2022)	CDS-PP - Percentagem (2024)	CDS-PP - Votos (2022)	CDS-PP - Votos (2024)	CH - Percentagem (2022)	CH - Percentagem (2024)	CH - Votos (2022)	CH - Votos (2024)	E - Percentagem (2022)	E - Percentagem (2024)	E - Votos (2022)	E - Votos (2024)	IL - Percentagem (2022)	IL - Percentagem (2024)	IL - Votos (2022)	IL - Votos (2024)	JPP - Percentagem (2022)	JPP - Percentagem (2024)	JPP - Votos (2022)	JPP - Votos (2024)	L - Percentagem (2022)	L - Percentagem (2024)	L - Votos (2022)	L - Votos (2024)	MAS - Percentagem (2022)	MAS - Percentagem (2024)	MAS - Votos (2022)	MAS - Votos (2024)	MPT - Percentagem (2022)	MPT - Percentagem (2024)	MPT - Votos (2022)	MPT - Votos (2024)	MPT.A - Percentagem (2022)	MPT.A - Percentagem (2024)	MPT.A - Votos (2022)	MPT.A - Votos (2024)	NC - Percentagem (2022)	NC - Percentagem (2024)	NC - Votos (2022)	NC - Votos (2024)	ND - Percentagem (2022)	ND - Percentagem (2024)	ND - Votos (2022)	ND - Votos (2024)	PAN - Percentagem (2022)	PAN - Percentagem (2024)	PAN - Votos (2022)	PAN - Votos (2024)	PCP-PEV - Percentagem (2022)	PCP-PEV - Percentagem (2024)	PCP-PEV - Votos (2022)	PCP-PEV - Votos (2024)	PCTP/MRPP - Percentagem (2022)	PCTP/MRPP - Percentagem (2024)	PCTP/MRPP - Votos (2022)	PCTP/MRPP - Votos (2024)	PPD/PSD - Percentagem (2022)	PPD/PSD - Percentagem (2024)	PPD/PSD - Votos (2022)	PPD/PSD - Votos (2024)	PPD/PSD.CDS-PP - Percentagem (2022)	PPD/PSD.CDS-PP - Percentagem (2024)	PPD/PSD.CDS-PP - Votos (2022)	PPD/PSD.CDS-PP - Votos (2024)	PPD/PSD.CDS-PP.PPM - Percentagem (2022)	PPD/PSD.CDS-PP.PPM - Percentagem (2024)	PPD/PSD.CDS-PP.PPM - Votos (2022)	PPD/PSD.CDS-PP.PPM - Votos (2024)	PPM - Percentagem (2022)	PPM - Percentagem (2024)	PPM - Votos (2022)	PPM - Votos (2024)	PS - Percentagem (2022)	PS - Percentagem (2024)	PS - Votos (2022)	PS - Votos (2024)	PTP - Percentagem (2022)	PTP - Percentagem (2024)	PTP - Votos (2022)	PTP - Votos (2024)	R.I.R. - Percentagem (2022)	R.I.R. - Percentagem (2024)	R.I.R. - Votos (2022)	R.I.R. - Votos (2024)	VP - Percentagem (2022)	VP - Percentagem (2024)	VP - Votos (2022)	VP - Votos (2024)
LOCAL-030929	Braga	Póvoa de Lanhoso	Vilela	594	623	0.6498	0.6726	7	5	4	3	0	0	0	0	0	0.0095	0	4	0.0026	0.0143	1	6	0.0104	0	4	0	0.057	0.1695	22	71	0	0.0072	0	3	0	0.043	0	18	0	0	0	0	0	0.0048	0	2	0	0	0	0	0.0026	0	1	0	0	0	0	0	0	0	0	0	0	0.0072	0	3	0.0078	0.0048	3	2	0.013	0	5	0	0	0.0048	0	2	0.4326	0	167	0	0	0	0	0	0	0.4248	0	178	0	0	0	0	0.4197	0.2888	162	121	0.0207	0	8	0	0.0052	0.0024	2	1	0	0	0	0
LOCAL-031001	Braga	Terras de Bouro	Balança	311	308	0.6752	0.7273	4	2	5	5	0.0048	0	1	0	0	0.0268	0	6	0.0333	0.0313	7	7	0.0286	0	6	0	0.0714	0.1741	15	39	0	0	0	0	0.0238	0.0357	5	8	0	0	0	0	0.0048	0.0179	1	4	0	0	0	0	0.0048	0	1	0	0	0.0045	0	1	0	0	0	0	0	0	0	0	0.0095	0.0134	2	3	0.0143	0.0179	3	4	0	0	0	0	0.4333	0	91	0	0	0	0	0	0	0.4063	0	91	0	0	0	0	0.3238	0.2321	68	52	0	0	0	0	0	0.0045	0	1	0.0048	0.0045	1	1
LOCAL-031003	Braga	Terras de Bouro	Campo do Gerês	174	171	0.6437	0.6316	1	0	1	1	0	0	0	0	0	0.0093	0	1	0.0089	0.0463	1	5	0.0089	0	1	0	0.0982	0.2222	11	24	0	0	0	0	0.0446	0.0648	5	7	0	0	0	0	0.0089	0.0185	1	2	0.0089	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0093	0	1	0.0268	0.0185	3	2	0	0.0093	0	1	0.4196	0	47	0	0	0	0	0	0	0.3519	0	38	0	0	0	0	0.3571	0.2407	40	26	0	0	0	0	0	0	0	0	0	0	0	0
LOCAL-031004	Braga	Terras de Bouro	Carvalheira	323	324	0.6161	0.6265	1	0	3	7	0	0	0	0	0	0.0148	0	3	0.0101	0.0197	2	4	0.0151	0	3	0	0.0905	0.2414	18	49	0	0	0	0	0.0352	0.0394	7	8	0	0	0	0	0.005	0.0049	1	1	0.005	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049	0	1	0.0151	0	3	0	0.0201	0.0197	4	4	0	0.0049	0	1	0.407	0	81	0	0	0	0	0	0	0.4433	0	90	0	0	0	0	0.3668	0.1675	73	34	0	0	0	0	0.0101	0.0049	2	1	0	0	0	0
LOCAL-031018	Braga	Terras de Bouro	Chamoim e Vilar	405	379	0.5728	0.6359	2	5	4	8	0	0	0	0	0	0.0249	0	6	0.0259	0.0124	6	3	0.0043	0	1	0	0.0733	0.2282	17	55	0	0	0	0	0.0086	0.0249	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129	0	3	0	0.0216	0.0124	5	3	0	0	0	0	0.4353	0	101	0	0	0	0	0	0	0.3527	0	85	0	0	0	0	0.3879	0.2822	90	68	0.0043	0	1	0	0	0.0041	0	1	0	0.0041	0	1
LOCAL-031019	Braga	Terras de Bouro	Chorense e Monte	559	519	0.5438	0.632	1	3	1	3	0	0	0	0	0	0.0152	0	5	0.0132	0.0152	4	5	0.0132	0	4	0	0.102	0.2287	31	75	0	0	0	0	0	0.0274	0	9	0	0.0091	0	3	0	0.0091	0	3	0	0	0	0	0.0033	0	1	0	0	0	0	0	0	0.003	0	1	0	0.0061	0	2	0.0066	0.0061	2	2	0.0164	0.0061	5	2	0	0.0122	0	4	0.5428	0	165	0	0	0	0	0	0	0.4848	0	159	0	0	0	0	0.2829	0.1463	86	48	0	0	0	0	0	0.0122	0	4	0.0132	0	4	0
LOCAL-031020	Braga	Terras de Bouro	Cibões e Brufe	332	325	0.4096	0.5446	1	3	1	1	0	0	0	0	0	0.0282	0	5	0.0147	0.0226	2	4	0.0368	0	5	0	0.0809	0.1977	11	35	0	0	0	0	0	0.0226	0	4	0	0	0	0	0	0.0113	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	1	0	0.0056	0	1	0.0074	0	1	0	0	0.0113	0	2	0.5662	0	77	0	0	0	0	0	0	0.548	0	97	0	0	0	0	0.2721	0.1186	37	21	0	0	0	0	0.0074	0.0056	1	1	0	0	0	0
LOCAL-031008	Braga	Terras de Bouro	Covide	317	307	0.5331	0.6059	2	2	1	5	0	0	0	0	0	0.0054	0	1	0.0118	0.0108	2	2	0.0414	0	7	0	0.0828	0.3333	14	62	0	0	0	0	0.0059	0.0215	1	4	0	0	0	0	0	0.0108	0	2	0.0059	0	1	0	0	0	0	0	0	0.0054	0	1	0	0	0	0	0	0	0	0	0.0237	0.0108	4	2	0.0059	0.0161	1	3	0	0.0054	0	1	0.4615	0	78	0	0	0	0	0	0	0.3817	0	71	0	0	0	0	0.3373	0.1559	57	29	0	0	0	0	0.0059	0	1	0	0	0.0054	0	1
LOCAL-031009	Braga	Terras de Bouro	Gondoriz	278	286	0.5612	0.5979	1	1	0	3	0	0	0	0	0	0.0175	0	3	0.0256	0.0117	4	2	0.0192	0	3	0	0.0321	0.1579	5	27	0	0	0	0	0	0.0234	0	4	0	0	0	0	0.0064	0	1	0	0.0064	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	1	0	0	0	0	0	0.0058	0	1	0	0	0	0	0.4423	0	69	0	0	0	0	0	0	0.4269	0	73	0	0	0	0	0.4551	0.3041	71	52	0	0	0	0	0.0064	0.0234	1	4	0	0	0	0
LOCAL-031010	Braga	Terras de Bouro	Moimenta	725	740	0.5945	0.6892	6	2	9	11	0	0	0	0	0	0.0118	0	6	0.007	0.0255	3	13	0.0139	0	6	0	0.065	0.1706	28	87	0.0023	0	1	0	0.007	0.0373	3	19	0	0	0	0	0.0023	0.0078	1	4	0	0	0	0	0	0	0	0	0	0.002	0	1	0	0.002	0	1	0	0.0059	0	3	0.0093	0.0039	4	2	0.0139	0.0118	6	6	0	0.0039	0	2	0.4524	0	195	0	0	0	0	0	0	0.4294	0	219	0	0	0	0	0.3875	0.2608	167	133	0.0023	0	1	0	0.0023	0	1	0	0	0.002	0	1
