Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	JPP - Votos (Anterior)	JPP - Votos (Corrente)	JPP - Percentagem (Anterior)	JPP - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	MPT.A - Votos (Anterior)	MPT.A - Votos (Corrente)	MPT.A - Percentagem (Anterior)	MPT.A - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PLS - Votos (Anterior)	PLS - Votos (Corrente)	PLS - Percentagem (Anterior)	PLS - Percentagem (Corrente)	PPD/PSD.CDS-PP - Votos (Anterior)	PPD/PSD.CDS-PP - Votos (Corrente)	PPD/PSD.CDS-PP - Percentagem (Anterior)	PPD/PSD.CDS-PP - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM - Votos (Anterior)	PPM - Votos (Corrente)	PPM - Percentagem (Anterior)	PPM - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-500000	*	*	*	9271479	9265493	0.6623	0.6438	67349	58930	87957	85966	100051	78914	0.0163	0.0132	274029	119211	0.0446	0.0200	1108797	1345689	0.1806	0.2256	5730	8806	0.0009	0.0015	312064	330149	0.0508	0.0553	18371	20126	0.0030	0.0034	199888	250651	0.0326	0.0420	0	471	0.0000	0.0001	4047	0	0.0007	0.0000	1627	2771	0.0003	0.0005	14479	8217	0.0024	0.0014	118579	80850	0.0193	0.0136	202325	180943	0.0330	0.0303	14751	10858	0.0024	0.0018	0	6336	0.0000	0.0011	52992	1914913	0.0086	0.3210	1758035	36879	0.2863	0.0062	451	5296	0.0001	0.0009	1759998	1394501	0.2866	0.2338	2443	421	0.0004	0.0001	25482	13550	0.0041	0.0023	10824	10998	0.0018	0.0018
LOCAL-010000	Aveiro	*	*	642086	642044	0.6600	0.6455	4577	3944	7031	6662	5753	6974	0.0136	0.0168	17358	7015	0.0410	0.0169	73110	85760	0.1725	0.2069	362	528	0.0009	0.0013	21671	23444	0.0511	0.0566	0	0	0.0000	0.0000	9510	12805	0.0224	0.0309	0	0	0.0000	0.0000	206	0	0.0005	0.0000	0	299	0.0000	0.0007	1076	472	0.0025	0.0011	7300	5131	0.0172	0.0124	5850	4923	0.0138	0.0119	1215	1005	0.0029	0.0024	0	0	0.0000	0.0000	0	163617	0.0000	0.3948	148861	0	0.3513	0.0000	0	304	0.0000	0.0007	117348	90010	0.2769	0.2172	0	0	0.0000	0.0000	1933	933	0.0046	0.0023	610	592	0.0014	0.0014
LOCAL-020000	Beja	*	*	119102	118320	0.6465	0.6232	934	689	1170	1012	861	713	0.0112	0.0097	3393	1365	0.0441	0.0185	16595	20447	0.2155	0.2773	95	87	0.0012	0.0012	1708	1439	0.0222	0.0195	0	0	0.0000	0.0000	1369	1547	0.0178	0.0210	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	106	97	0.0014	0.0013	943	636	0.0122	0.0086	11570	10000	0.1503	0.1356	624	455	0.0081	0.0062	0	0	0.0000	0.0000	0	15407	0.0000	0.2089	12890	0	0.1674	0.0000	0	84	0.0000	0.0011	24408	19536	0.3170	0.2649	0	0	0.0000	0.0000	181	135	0.0024	0.0018	147	93	0.0019	0.0013
LOCAL-030000	Braga	*	*	780163	782367	0.7131	0.6971	5277	5930	9588	9014	9964	5329	0.0179	0.0098	21388	10029	0.0384	0.0184	93826	119917	0.1686	0.2199	515	528	0.0009	0.0010	33930	36687	0.0610	0.0673	590	307	0.0011	0.0006	12926	16615	0.0232	0.0305	0	0	0.0000	0.0000	673	0	0.0012	0.0000	534	0	0.0010	0.0000	2616	888	0.0047	0.0016	7935	5174	0.0143	0.0095	10136	9180	0.0182	0.0168	1897	0	0.0034	0.0000	0	0	0.0000	0.0000	0	197995	0.0000	0.3630	184468	0	0.3316	0.0000	0	272	0.0000	0.0005	157099	125539	0.2824	0.2302	0	0	0.0000	0.0000	2234	1279	0.0040	0.0023	771	694	0.0014	0.0013
LOCAL-040000	Bragança	*	*	134213	132768	0.5415	0.5271	972	930	890	854	1587	1071	0.0218	0.0153	1404	591	0.0193	0.0084	13216	14288	0.1819	0.2042	109	80	0.0015	0.0011	1245	1527	0.0171	0.0218	0	0	0.0000	0.0000	727	792	0.0100	0.0113	0	0	0.0000	0.0000	52	0	0.0007	0.0000	0	0	0.0000	0.0000	316	0	0.0043	0.0000	598	469	0.0082	0.0067	773	725	0.0106	0.0104	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	30611	0.0000	0.4374	29077	0	0.4001	0.0000	0	66	0.0000	0.0009	21538	17796	0.2964	0.2543	0	0	0.0000	0.0000	169	97	0.0023	0.0014	0	86	0.0000	0.0012
LOCAL-050000	Castelo Branco	*	*	163578	162574	0.6619	0.6402	1491	1356	1529	1491	1491	1872	0.0138	0.0180	4451	1715	0.0411	0.0165	21131	24313	0.1952	0.2336	100	145	0.0009	0.0014	2959	3143	0.0273	0.0302	0	0	0.0000	0.0000	2171	2652	0.0201	0.0255	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	315	0	0.0029	0.0000	1427	944	0.0132	0.0091	2372	2227	0.0219	0.0214	441	300	0.0041	0.0029	0	0	0.0000	0.0000	0	33616	0.0000	0.3230	30803	0	0.2845	0.0000	0	154	0.0000	0.0015	37052	29751	0.3422	0.2859	0	0	0.0000	0.0000	367	199	0.0034	0.0019	168	198	0.0016	0.0019
LOCAL-060000	Coimbra	*	*	371745	370773	0.6512	0.6238	2636	2396	4795	4567	2421	3752	0.0100	0.0162	12334	5027	0.0510	0.0217	37412	42527	0.1546	0.1839	187	340	0.0008	0.0015	9587	10273	0.0396	0.0444	185	154	0.0008	0.0007	6880	9392	0.0284	0.0406	0	0	0.0000	0.0000	140	0	0.0006	0.0000	0	0	0.0000	0.0000	577	245	0.0024	0.0011	3835	2828	0.0158	0.0122	6816	5796	0.0282	0.0251	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	79524	0.0000	0.3438	74019	0	0.3058	0.0000	0	235	0.0000	0.0010	79086	63348	0.3267	0.2739	0	0	0.0000	0.0000	730	474	0.0030	0.0020	427	400	0.0018	0.0017
LOCAL-070000	Évora	*	*	133400	132620	0.6701	0.6403	810	749	1251	1263	838	983	0.0094	0.0116	3816	1487	0.0427	0.0175	17846	21080	0.1996	0.2482	81	83	0.0009	0.0010	2227	2415	0.0249	0.0284	0	0	0.0000	0.0000	1773	2296	0.0198	0.0270	0	0	0.0000	0.0000	41	0	0.0005	0.0000	0	106	0.0000	0.0012	160	0	0.0018	0.0000	991	790	0.0111	0.0093	9771	8637	0.1093	0.1017	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	21070	0.0000	0.2481	20049	0	0.2243	0.0000	0	68	0.0000	0.0008	29309	23616	0.3279	0.2781	0	0	0.0000	0.0000	273	138	0.0031	0.0016	151	142	0.0017	0.0017
LOCAL-080000	Faro	*	*	382586	383944	0.6174	0.6005	2779	2024	3407	3253	4926	4182	0.0209	0.0181	13579	5724	0.0575	0.0248	64228	78168	0.2719	0.3390	330	486	0.0014	0.0021	10761	10047	0.0456	0.0436	611	262	0.0026	0.0011	6501	7735	0.0275	0.0335	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	782	423	0.0033	0.0018	6098	4161	0.0258	0.0180	7518	6170	0.0318	0.0268	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	59353	0.0000	0.2574	52885	0	0.2239	0.0000	0	332	0.0000	0.0014	60123	47293	0.2546	0.2051	0	0	0.0000	0.0000	1074	512	0.0045	0.0022	591	437	0.0025	0.0019
LOCAL-090000	Guarda	*	*	141431	139506	0.6017	0.5851	1333	1198	1163	1179	2181	1660	0.0256	0.0203	2301	1010	0.0270	0.0124	15821	17247	0.1859	0.2113	165	80	0.0019	0.0010	1913	1994	0.0225	0.0244	0	0	0.0000	0.0000	1151	1229	0.0135	0.0151	0	0	0.0000	0.0000	80	0	0.0009	0.0000	0	117	0.0000	0.0014	292	0	0.0034	0.0000	821	607	0.0096	0.0074	1332	1037	0.0157	0.0127	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	32291	0.0000	0.3956	29033	0	0.3412	0.0000	0	170	0.0000	0.0021	27133	21550	0.3188	0.2640	0	0	0.0000	0.0000	289	134	0.0034	0.0016	95	118	0.0011	0.0014
LOCAL-100000	Leiria	*	*	412184	411995	0.6636	0.6435	3560	3206	5081	4974	4560	5745	0.0167	0.0217	11736	5099	0.0429	0.0192	53764	61162	0.1966	0.2307	340	398	0.0012	0.0015	15446	15971	0.0565	0.0602	0	0	0.0000	0.0000	7197	9299	0.0263	0.0351	0	0	0.0000	0.0000	306	0	0.0011	0.0000	0	0	0.0000	0.0000	741	723	0.0027	0.0027	4645	3103	0.0170	0.0117	6600	5468	0.0241	0.0206	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	98243	0.0000	0.3706	96311	0	0.3521	0.0000	0	323	0.0000	0.0012	61535	50321	0.2250	0.1898	0	0	0.0000	0.0000	1141	587	0.0042	0.0022	552	487	0.0020	0.0018
LOCAL-110000	Lisboa	*	*	1915172	1912945	0.6888	0.6657	13820	11347	15711	16083	19074	15415	0.0145	0.0121	65438	29914	0.0496	0.0235	224526	265718	0.1702	0.2087	1000	2152	0.0008	0.0017	86847	97098	0.0658	0.0762	848	815	0.0006	0.0006	72102	87530	0.0547	0.0687	0	0	0.0000	0.0000	1174	0	0.0009	0.0000	0	755	0.0000	0.0006	2365	2016	0.0018	0.0016	32829	23369	0.0249	0.0184	49257	45430	0.0373	0.0357	4464	3666	0.0034	0.0029	0	1894	0.0000	0.0015	0	362506	0.0000	0.2847	356698	0	0.2704	0.0000	0	945	0.0000	0.0007	365838	301492	0.2773	0.2367	1331	0	0.0010	0.0000	2854	2199	0.0022	0.0017	2963	3156	0.0022	0.0025
LOCAL-120000	Portalegre	*	*	93106	92532	0.6515	0.6224	645	627	920	834	631	619	0.0104	0.0107	1894	733	0.0312	0.0127	14915	17220	0.2459	0.2990	54	52	0.0009	0.0009	1146	1107	0.0189	0.0192	0	0	0.0000	0.0000	873	986	0.0144	0.0171	0	0	0.0000	0.0000	31	0	0.0005	0.0000	0	0	0.0000	0.0000	121	0	0.0020	0.0000	506	393	0.0083	0.0068	3604	2977	0.0594	0.0517	303	263	0.0050	0.0046	0	0	0.0000	0.0000	0	15458	0.0000	0.2684	14132	0	0.2330	0.0000	0	51	0.0000	0.0009	20658	16125	0.3405	0.2800	0	0	0.0000	0.0000	176	79	0.0029	0.0014	53	72	0.0009	0.0013
LOCAL-130000	Porto	*	*	1591759	1591357	0.7004	0.6897	11035	9610	14404	14381	19585	11275	0.0176	0.0103	51909	22192	0.0466	0.0202	170910	226806	0.1533	0.2067	740	1771	0.0007	0.0016	64050	66926	0.0575	0.0610	1150	749	0.0010	0.0007	37319	47156	0.0335	0.0430	0	0	0.0000	0.0000	0	0	0.0000	0.0000	788	1105	0.0007	0.0010	1786	1808	0.0016	0.0016	23415	16433	0.0210	0.0150	26343	25002	0.0236	0.0228	3444	2179	0.0031	0.0020	0	3595	0.0000	0.0033	0	375606	0.0000	0.3422	339096	0	0.3042	0.0000	0	596	0.0000	0.0005	338084	263793	0.3033	0.2404	0	0	0.0000	0.0000	9163	3967	0.0082	0.0036	1647	2573	0.0015	0.0023
LOCAL-140000	Santarém	*	*	377261	377415	0.6655	0.6470	2939	2505	3868	3703	3505	3969	0.0140	0.0163	11204	4367	0.0446	0.0179	58554	68687	0.2332	0.2813	363	424	0.0014	0.0017	9492	9593	0.0378	0.0393	0	0	0.0000	0.0000	6186	7857	0.0246	0.0322	0	0	0.0000	0.0000	295	0	0.0012	0.0000	0	0	0.0000	0.0000	463	0	0.0018	0.0000	3926	2749	0.0156	0.0113	10343	8780	0.0412	0.0360	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	74716	0.0000	0.3060	68493	0	0.2728	0.0000	0	247	0.0000	0.0010	69915	55545	0.2785	0.2275	0	0	0.0000	0.0000	951	538	0.0038	0.0022	567	498	0.0023	0.0020
LOCAL-150000	Setúbal	*	*	751292	754726	0.6690	0.6509	5074	4467	6256	6094	7661	4187	0.0152	0.0085	30161	13068	0.0600	0.0266	102077	129569	0.2031	0.2638	558	714	0.0011	0.0015	26941	27057	0.0536	0.0551	430	453	0.0009	0.0009	21552	28700	0.0429	0.0584	0	0	0.0000	0.0000	438	0	0.0009	0.0000	0	389	0.0000	0.0008	1235	682	0.0025	0.0014	12856	9229	0.0256	0.0188	38841	34956	0.0773	0.0712	2363	2990	0.0047	0.0061	0	847	0.0000	0.0017	0	103181	0.0000	0.2101	86297	0	0.1717	0.0000	0	320	0.0000	0.0007	157166	122679	0.3127	0.2497	393	0	0.0008	0.0000	1323	749	0.0026	0.0015	965	886	0.0019	0.0018
LOCAL-160000	Viana do Castelo	*	*	233491	232581	0.6121	0.6016	1539	1319	2682	2363	2263	2047	0.0158	0.0146	4926	2285	0.0345	0.0163	26635	32141	0.1864	0.2297	147	275	0.0010	0.0020	5106	5344	0.0357	0.0382	0	0	0.0000	0.0000	2813	3640	0.0197	0.0260	0	0	0.0000	0.0000	204	0	0.0014	0.0000	0	0	0.0000	0.0000	706	0	0.0049	0.0000	2057	1300	0.0144	0.0093	3106	2763	0.0217	0.0197	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	55376	0.0000	0.3958	49613	0	0.3472	0.0000	0	145	0.0000	0.0010	40237	30393	0.2815	0.2172	0	0	0.0000	0.0000	624	315	0.0044	0.0023	255	209	0.0018	0.0015
LOCAL-170000	Vila Real	*	*	208667	206897	0.5610	0.5501	1546	1309	1494	1359	2958	1713	0.0253	0.0151	2865	1150	0.0245	0.0101	20032	22754	0.1711	0.1999	117	130	0.0010	0.0011	2378	2481	0.0203	0.0218	0	0	0.0000	0.0000	1592	1743	0.0136	0.0153	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	278	0	0.0024	0.0000	1062	775	0.0091	0.0068	1599	1401	0.0137	0.0123	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	50522	0.0000	0.4439	46040	0	0.3933	0.0000	0	186	0.0000	0.0016	34654	27990	0.2960	0.2459	0	0	0.0000	0.0000	319	182	0.0027	0.0016	122	111	0.0010	0.0010
LOCAL-180000	Viseu	*	*	335659	334039	0.6304	0.6191	2627	2324	3302	3320	6615	4188	0.0313	0.0202	5846	2464	0.0276	0.0119	41159	45794	0.1945	0.2214	164	227	0.0008	0.0011	5948	6465	0.0281	0.0313	0	0	0.0000	0.0000	3566	4394	0.0169	0.0212	0	0	0.0000	0.0000	179	0	0.0008	0.0000	0	0	0.0000	0.0000	544	431	0.0026	0.0021	2554	0	0.0121	0.0000	2905	2489	0.0137	0.0120	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	88374	0.0000	0.4273	76927	0	0.3636	0.0000	0	344	0.0000	0.0017	58077	45210	0.2745	0.2186	0	0	0.0000	0.0000	831	547	0.0039	0.0026	342	246	0.0016	0.0012
LOCAL-300000	Madeira	*	*	254502	255801	0.5885	0.5431	2685	1833	794	549	2348	1554	0.0157	0.0112	4404	1870	0.0294	0.0135	26296	29038	0.1756	0.2090	239	187	0.0016	0.0013	5827	3657	0.0389	0.0263	14344	17115	0.0958	0.1232	1864	1749	0.0124	0.0126	0	358	0.0000	0.0026	228	0	0.0015	0.0000	305	0	0.0020	0.0000	0	432	0.0000	0.0031	3127	1445	0.0209	0.0104	2429	1763	0.0162	0.0127	0	0	0.0000	0.0000	0	0	0.0000	0.0000	52992	57447	0.3538	0.4135	0	0	0.0000	0.0000	451	454	0.0030	0.0033	29723	18704	0.1984	0.1346	719	421	0.0048	0.0030	725	346	0.0048	0.0025	283	0	0.0019	0.0000
LOCAL-400000	Açores	*	*	230082	230289	0.4619	0.4381	1070	1167	2621	3011	829	1666	0.0078	0.0165	3622	2106	0.0341	0.0209	16744	23053	0.1576	0.2285	64	119	0.0006	0.0012	2882	3481	0.0271	0.0345	213	271	0.0020	0.0027	1816	2534	0.0171	0.0251	0	113	0.0000	0.0011	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1654	1314	0.0156	0.0130	1160	1219	0.0109	0.0121	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	42343	36879	0.3984	0.3656	0	0	0.0000	0.0000	31015	23810	0.2918	0.2360	0	0	0.0000	0.0000	125	140	0.0012	0.0014	115	0	0.0011	0.0000
LOCAL-010100	Aveiro	Águeda	*	41936	41669	0.6509	0.6254	297	244	509	483	440	475	0.0161	0.0182	915	318	0.0335	0.0122	5285	5654	0.1936	0.2170	17	22	0.0006	0.0008	1247	1266	0.0457	0.0486	0	0	0.0000	0.0000	441	582	0.0162	0.0223	0	0	0.0000	0.0000	11	0	0.0004	0.0000	0	22	0.0000	0.0008	65	26	0.0024	0.0010	322	234	0.0118	0.0090	358	276	0.0131	0.0106	75	72	0.0027	0.0028	0	0	0.0000	0.0000	0	10615	0.0000	0.4073	9627	0	0.3527	0.0000	0	21	0.0000	0.0008	7570	5677	0.2773	0.2178	0	0	0.0000	0.0000	85	38	0.0031	0.0015	33	36	0.0012	0.0014
LOCAL-010200	Aveiro	Albergaria-a-Velha	*	22449	22407	0.6487	0.6406	175	141	249	198	274	273	0.0188	0.0190	465	194	0.0319	0.0135	3117	3590	0.2141	0.2501	8	19	0.0005	0.0013	595	683	0.0409	0.0476	0	0	0.0000	0.0000	288	301	0.0198	0.0210	0	0	0.0000	0.0000	8	0	0.0005	0.0000	0	10	0.0000	0.0007	26	21	0.0018	0.0015	222	149	0.0152	0.0104	149	143	0.0102	0.0100	42	28	0.0029	0.0020	0	0	0.0000	0.0000	0	6010	0.0000	0.4187	5433	0	0.3731	0.0000	0	5	0.0000	0.0003	3414	2520	0.2344	0.1755	0	0	0.0000	0.0000	77	35	0.0053	0.0024	20	35	0.0014	0.0024
LOCAL-010300	Aveiro	Anadia	*	25583	25449	0.6301	0.6101	154	156	365	303	272	311	0.0169	0.0200	510	185	0.0316	0.0119	2857	3167	0.1772	0.2040	11	26	0.0007	0.0017	721	764	0.0447	0.0492	0	0	0.0000	0.0000	301	352	0.0187	0.0227	0	0	0.0000	0.0000	8	0	0.0005	0.0000	0	15	0.0000	0.0010	56	18	0.0035	0.0012	246	167	0.0153	0.0108	207	158	0.0128	0.0102	40	34	0.0025	0.0022	0	0	0.0000	0.0000	0	7028	0.0000	0.4527	6604	0	0.4097	0.0000	0	7	0.0000	0.0005	3663	2777	0.2272	0.1789	0	0	0.0000	0.0000	78	36	0.0048	0.0023	27	22	0.0017	0.0014
LOCAL-010400	Aveiro	Arouca	*	19670	19696	0.6826	0.6586	116	114	246	209	222	285	0.0165	0.0220	312	121	0.0232	0.0093	2200	2126	0.1638	0.1639	12	10	0.0009	0.0008	436	491	0.0325	0.0379	0	0	0.0000	0.0000	177	225	0.0132	0.0173	0	0	0.0000	0.0000	7	0	0.0005	0.0000	0	9	0.0000	0.0007	52	18	0.0039	0.0014	159	105	0.0118	0.0081	130	73	0.0097	0.0056	37	19	0.0028	0.0015	0	0	0.0000	0.0000	0	6941	0.0000	0.5351	5919	0	0.4408	0.0000	0	28	0.0000	0.0022	3292	2145	0.2452	0.1654	0	0	0.0000	0.0000	93	36	0.0069	0.0028	17	16	0.0013	0.0012
LOCAL-010500	Aveiro	Aveiro	*	70221	70189	0.6727	0.6570	445	427	864	809	524	677	0.0111	0.0147	2442	1007	0.0517	0.0218	7711	8844	0.1632	0.1918	33	51	0.0007	0.0011	3041	3442	0.0644	0.0746	0	0	0.0000	0.0000	1747	2353	0.0370	0.0510	0	0	0.0000	0.0000	14	0	0.0003	0.0000	0	32	0.0000	0.0007	92	36	0.0019	0.0008	930	675	0.0197	0.0146	696	643	0.0147	0.0139	107	84	0.0023	0.0018	0	0	0.0000	0.0000	0	17165	0.0000	0.3722	16506	0	0.3494	0.0000	0	26	0.0000	0.0006	11901	9705	0.2519	0.2105	0	0	0.0000	0.0000	122	59	0.0026	0.0013	62	78	0.0013	0.0017
LOCAL-010600	Aveiro	Castelo de Paiva	*	14016	14005	0.6775	0.6675	141	103	131	120	108	161	0.0114	0.0172	252	109	0.0265	0.0117	1337	1631	0.1408	0.1745	5	6	0.0005	0.0006	263	237	0.0277	0.0254	0	0	0.0000	0.0000	124	142	0.0131	0.0152	0	0	0.0000	0.0000	5	0	0.0005	0.0000	0	5	0.0000	0.0005	26	11	0.0027	0.0012	112	74	0.0118	0.0079	79	56	0.0083	0.0060	20	19	0.0021	0.0020	0	0	0.0000	0.0000	0	4172	0.0000	0.4463	3478	0	0.3663	0.0000	0	10	0.0000	0.0011	3274	2423	0.3448	0.2592	0	0	0.0000	0.0000	133	60	0.0140	0.0064	8	9	0.0008	0.0010
LOCAL-010700	Aveiro	Espinho	*	29326	29347	0.6941	0.6878	213	180	276	251	268	357	0.0132	0.0177	792	285	0.0389	0.0141	2593	3154	0.1274	0.1563	26	27	0.0013	0.0013	1028	1115	0.0505	0.0552	0	0	0.0000	0.0000	486	669	0.0239	0.0331	0	0	0.0000	0.0000	10	0	0.0005	0.0000	0	25	0.0000	0.0012	49	19	0.0024	0.0009	396	277	0.0195	0.0137	567	490	0.0279	0.0243	87	69	0.0043	0.0034	0	0	0.0000	0.0000	0	8072	0.0000	0.3999	6756	0	0.3319	0.0000	0	12	0.0000	0.0006	6709	5116	0.3296	0.2535	0	0	0.0000	0.0000	69	38	0.0034	0.0019	31	29	0.0015	0.0014
LOCAL-010800	Aveiro	Estarreja	*	24018	23997	0.6070	0.6075	172	159	264	238	217	255	0.0149	0.0175	553	227	0.0379	0.0156	2869	3474	0.1968	0.2383	9	16	0.0006	0.0011	710	703	0.0487	0.0482	0	0	0.0000	0.0000	254	357	0.0174	0.0245	0	0	0.0000	0.0000	5	0	0.0003	0.0000	0	13	0.0000	0.0009	44	18	0.0030	0.0012	213	140	0.0146	0.0096	337	274	0.0231	0.0188	37	45	0.0025	0.0031	0	0	0.0000	0.0000	0	5503	0.0000	0.3775	4781	0	0.3280	0.0000	0	13	0.0000	0.0009	4040	3078	0.2771	0.2112	0	0	0.0000	0.0000	50	42	0.0034	0.0029	23	22	0.0016	0.0015
LOCAL-010900	Aveiro	Santa Maria da Feira	*	126650	126913	0.6864	0.6736	896	789	1249	1220	1050	1363	0.0121	0.0159	3722	1553	0.0428	0.0182	14310	18014	0.1646	0.2107	103	127	0.0012	0.0015	4763	5067	0.0548	0.0593	0	0	0.0000	0.0000	1845	2425	0.0212	0.0284	0	0	0.0000	0.0000	47	0	0.0005	0.0000	0	50	0.0000	0.0006	208	101	0.0024	0.0012	1694	1173	0.0195	0.0137	1113	898	0.0128	0.0105	285	230	0.0033	0.0027	0	0	0.0000	0.0000	0	31425	0.0000	0.3676	28382	0	0.3265	0.0000	0	62	0.0000	0.0007	26645	20650	0.3065	0.2416	0	0	0.0000	0.0000	487	220	0.0056	0.0026	133	118	0.0015	0.0014
LOCAL-011000	Aveiro	Ílhavo	*	36248	36377	0.6118	0.6008	236	177	443	399	300	344	0.0135	0.0157	1100	461	0.0496	0.0211	4625	5308	0.2086	0.2429	15	30	0.0007	0.0014	1339	1476	0.0604	0.0675	0	0	0.0000	0.0000	694	1011	0.0313	0.0463	0	0	0.0000	0.0000	22	0	0.0010	0.0000	0	11	0.0000	0.0005	45	22	0.0020	0.0010	484	359	0.0218	0.0164	247	242	0.0111	0.0111	48	41	0.0022	0.0019	0	0	0.0000	0.0000	0	7905	0.0000	0.3617	7321	0	0.3301	0.0000	0	11	0.0000	0.0005	5142	3994	0.2319	0.1827	0	0	0.0000	0.0000	87	27	0.0039	0.0012	27	38	0.0012	0.0017
LOCAL-011100	Aveiro	Mealhada	*	17706	17653	0.6341	0.6111	118	93	282	252	122	159	0.0109	0.0147	653	231	0.0582	0.0214	1854	2168	0.1651	0.2010	5	9	0.0004	0.0008	534	562	0.0476	0.0521	0	0	0.0000	0.0000	284	392	0.0253	0.0363	0	0	0.0000	0.0000	6	0	0.0005	0.0000	0	14	0.0000	0.0013	29	12	0.0026	0.0011	175	141	0.0156	0.0131	262	229	0.0233	0.0212	42	31	0.0037	0.0029	0	0	0.0000	0.0000	0	3367	0.0000	0.3121	2979	0	0.2653	0.0000	0	7	0.0000	0.0006	3826	3069	0.3408	0.2845	0	0	0.0000	0.0000	45	26	0.0040	0.0024	11	25	0.0010	0.0023
LOCAL-011200	Aveiro	Murtosa	*	9918	9947	0.5233	0.5304	53	54	95	79	76	111	0.0146	0.0210	177	80	0.0341	0.0152	1129	1405	0.2175	0.2663	2	2	0.0004	0.0004	222	199	0.0428	0.0377	0	0	0.0000	0.0000	84	151	0.0162	0.0286	0	0	0.0000	0.0000	3	0	0.0006	0.0000	0	5	0.0000	0.0009	16	2	0.0031	0.0004	75	34	0.0145	0.0064	54	60	0.0104	0.0114	18	10	0.0035	0.0019	0	0	0.0000	0.0000	0	2338	0.0000	0.4431	2148	0	0.4139	0.0000	0	4	0.0000	0.0008	1002	733	0.1931	0.1389	0	0	0.0000	0.0000	29	5	0.0056	0.0009	7	4	0.0013	0.0008
