Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	JPP - Votos (Anterior)	JPP - Votos (Corrente)	JPP - Percentagem (Anterior)	JPP - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	MPT.A - Votos (Anterior)	MPT.A - Votos (Corrente)	MPT.A - Percentagem (Anterior)	MPT.A - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PLS - Votos (Anterior)	PLS - Votos (Corrente)	PLS - Percentagem (Anterior)	PLS - Percentagem (Corrente)	PPD/PSD.CDS-PP - Votos (Anterior)	PPD/PSD.CDS-PP - Votos (Corrente)	PPD/PSD.CDS-PP - Percentagem (Anterior)	PPD/PSD.CDS-PP - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM - Votos (Anterior)	PPM - Votos (Corrente)	PPM - Percentagem (Anterior)	PPM - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-180908	Viseu	Nelas	Lapa do Lobo	628	626	0.6146	0.6070	4	2	8	9	10	6	0.0259	0.0158	8	3	0.0207	0.0079	52	80	0.1347	0.2105	0	1	0.0000	0.0026	6	12	0.0155	0.0316	0	0	0.0000	0.0000	6	11	0.0155	0.0289	0	0	0.0000	0.0000	2	0	0.0052	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	3	0	0.0078	0.0000	25	13	0.0648	0.0342	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	130	0.0000	0.3421	108	0	0.2798	0.0000	0	1	0.0000	0.0026	154	110	0.3990	0.2895	0	0	0.0000	0.0000	0	1	0.0000	0.0026	0	1	0.0000	0.0026
LOCAL-180910	Viseu	Nelas	Carvalhal Redondo e Aguieira	1366	1367	0.5842	0.5808	7	10	7	16	23	19	0.0288	0.0239	23	9	0.0288	0.0113	173	214	0.2168	0.2695	2	1	0.0025	0.0013	22	15	0.0276	0.0189	0	0	0.0000	0.0000	8	11	0.0100	0.0139	0	0	0.0000	0.0000	1	0	0.0013	0.0000	0	0	0.0000	0.0000	4	0	0.0050	0.0000	4	0	0.0050	0.0000	13	11	0.0163	0.0139	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	296	0.0000	0.3728	250	0	0.3133	0.0000	0	0	0.0000	0.0000	255	188	0.3195	0.2368	0	0	0.0000	0.0000	6	2	0.0075	0.0025	0	2	0.0000	0.0025
LOCAL-180911	Viseu	Nelas	Santar e Moreira	1418	1404	0.6058	0.5741	11	17	13	6	33	21	0.0384	0.0261	28	11	0.0326	0.0136	149	187	0.1735	0.2320	0	0	0.0000	0.0000	28	17	0.0326	0.0211	0	0	0.0000	0.0000	9	13	0.0105	0.0161	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	2	0.0012	0.0025	19	0	0.0221	0.0000	8	11	0.0093	0.0136	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	288	0.0000	0.3573	255	0	0.2969	0.0000	0	2	0.0000	0.0025	304	228	0.3539	0.2829	0	0	0.0000	0.0000	1	3	0.0012	0.0037	0	0	0.0000	0.0000
LOCAL-181002	Viseu	Oliveira de Frades	Arcozelo das Maias	1204	1188	0.6561	0.6086	12	11	18	14	16	14	0.0203	0.0194	14	9	0.0177	0.0124	199	199	0.2519	0.2752	0	1	0.0000	0.0014	18	25	0.0228	0.0346	0	0	0.0000	0.0000	10	18	0.0127	0.0249	0	0	0.0000	0.0000	3	0	0.0038	0.0000	0	0	0.0000	0.0000	0	4	0.0000	0.0055	9	0	0.0114	0.0000	13	13	0.0165	0.0180	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	300	0.0000	0.4149	294	0	0.3722	0.0000	0	0	0.0000	0.0000	177	110	0.2241	0.1521	0	0	0.0000	0.0000	2	5	0.0025	0.0069	5	0	0.0063	0.0000
LOCAL-181005	Viseu	Oliveira de Frades	Pinheiro	1040	1023	0.6808	0.6598	13	10	12	19	20	12	0.0282	0.0178	19	6	0.0268	0.0089	129	139	0.1822	0.2059	2	0	0.0028	0.0000	17	9	0.0240	0.0133	0	0	0.0000	0.0000	12	9	0.0169	0.0133	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	2	0.0028	0.0030	4	0	0.0056	0.0000	12	12	0.0169	0.0178	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	355	0.0000	0.5259	310	0	0.4379	0.0000	0	0	0.0000	0.0000	152	100	0.2147	0.1481	0	0	0.0000	0.0000	2	1	0.0028	0.0015	2	1	0.0028	0.0015
LOCAL-181007	Viseu	Oliveira de Frades	Ribeiradio	788	781	0.7081	0.6709	5	2	8	5	12	15	0.0215	0.0286	11	2	0.0197	0.0038	126	143	0.2258	0.2729	1	0	0.0018	0.0000	12	20	0.0215	0.0382	0	0	0.0000	0.0000	8	5	0.0143	0.0095	0	0	0.0000	0.0000	1	0	0.0018	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0036	0.0000	3	7	0.0054	0.0134	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	215	0.0000	0.4103	211	0	0.3781	0.0000	0	1	0.0000	0.0019	154	105	0.2760	0.2004	0	0	0.0000	0.0000	1	2	0.0018	0.0038	3	2	0.0054	0.0038
LOCAL-181008	Viseu	Oliveira de Frades	São João da Serra	431	412	0.6195	0.5971	2	1	4	5	11	4	0.0412	0.0163	2	2	0.0075	0.0081	48	43	0.1798	0.1748	1	1	0.0037	0.0041	4	4	0.0150	0.0163	0	0	0.0000	0.0000	4	2	0.0150	0.0081	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0037	0.0000	1	0	0.0037	0.0000	4	1	0.0150	0.0041	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	135	0.0000	0.5488	118	0	0.4419	0.0000	0	0	0.0000	0.0000	65	46	0.2434	0.1870	0	0	0.0000	0.0000	1	2	0.0037	0.0081	1	0	0.0037	0.0000
LOCAL-181009	Viseu	Oliveira de Frades	São Vicente de Lafões	680	693	0.7059	0.6724	7	1	8	8	12	18	0.0250	0.0386	5	3	0.0104	0.0064	109	116	0.2271	0.2489	0	0	0.0000	0.0000	12	9	0.0250	0.0193	0	0	0.0000	0.0000	3	4	0.0063	0.0086	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0021	0.0000	4	0	0.0083	0.0000	1	0	0.0021	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	243	0.0000	0.5215	225	0	0.4688	0.0000	0	0	0.0000	0.0000	91	61	0.1896	0.1309	0	0	0.0000	0.0000	2	2	0.0042	0.0043	0	1	0.0000	0.0021
LOCAL-181013	Viseu	Oliveira de Frades	Arca e Varzielas	581	563	0.6506	0.6607	5	2	9	11	17	9	0.0450	0.0242	7	3	0.0185	0.0081	87	73	0.2302	0.1962	1	0	0.0026	0.0000	7	8	0.0185	0.0215	0	0	0.0000	0.0000	4	9	0.0106	0.0242	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	2	0.0026	0.0054	2	0	0.0053	0.0000	2	2	0.0053	0.0054	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	222	0.0000	0.5968	197	0	0.5212	0.0000	0	0	0.0000	0.0000	37	29	0.0979	0.0780	0	0	0.0000	0.0000	2	1	0.0053	0.0027	0	1	0.0000	0.0027
LOCAL-181014	Viseu	Oliveira de Frades	Destriz e Reigoso	559	558	0.7138	0.6631	0	4	9	7	7	8	0.0175	0.0216	13	1	0.0326	0.0027	66	55	0.1654	0.1486	0	0	0.0000	0.0000	5	7	0.0125	0.0189	0	0	0.0000	0.0000	8	10	0.0201	0.0270	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	3	0.0000	0.0081	3	0	0.0075	0.0000	7	4	0.0175	0.0108	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	168	0.0000	0.4541	142	0	0.3559	0.0000	0	0	0.0000	0.0000	135	95	0.3383	0.2568	0	0	0.0000	0.0000	4	8	0.0100	0.0216	0	0	0.0000	0.0000
